Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,BClass,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money
10/22/2020 12:29:39,Female,Boarding,11th,Yes,Golf,7,0,Yes,2,1,3,1,20.00
10/22/2020 12:30:15,Female,Boarding,9th,Yes,Musical,6,1,No,2,0,3,4,8.00
10/22/2020 12:35:22,Male,Boarding,10th,Yes,Soccer,4,1,No,2,1,8,3,10.00
10/22/2020 12:35:23,Male,Boarding,11th,Yes,Cross Country,7,6,Yes,3,1,3,2,5.00
10/22/2020 12:36:17,Male,Day,12th,No,None of the above,0,0,Yes,1,0,1,4,5.00
10/22/2020 12:38:38,Male,Day,11th,No,Musical,0,5,Yes,3,0,2,4,50.00
10/22/2020 12:39:36,Female,Boarding,10th,No,Tennis,7,6,No,2,1,2,,20.00
10/22/2020 12:39:42,Female,Day,9th,Yes,Volleyball,0,7,No,0,0,0,3,3.00
10/22/2020 12:40:30,Male,Boarding,11th,No,Musical,0,0,Yes,2,1,5,3,15.00
10/22/2020 12:41:01,Male,Boarding,10th,Yes,Football,7,0,Yes,3,0,1,3,5.00
10/22/2020 12:41:06,Female,Day,11th,No,Musical,0,0,No,2,0,1,1,
10/22/2020 12:42:20,Male,Boarding,11th,Yes,Football,7,7,No,6,4,7,5,
10/22/2020 12:44:45,Male,Boarding,11th,Yes,Pre-season conditioning,7,0,Yes,3,2,0,0,25.00
10/22/2020 12:45:57,Male,Boarding,12th,Yes,Musical,2,2,No,3,0,5,4,
10/22/2020 12:47:51,Male,Boarding,11th,Yes,Football,7,0,No,4,2,10,3,5.00
10/22/2020 12:51:44,Male,Boarding,11th,Yes,Soccer,0,0,Yes,2,1,2,3,
10/22/2020 12:57:00,Female,Boarding,9th,Yes,Cross Country,7,0,No,2,0,0,5,30.00
10/22/2020 12:59:40,Male,Day,10th,Yes,Intramurals,0,4,Yes,3,0,0,0,50.00
10/22/2020 12:59:46,Male,Boarding,12th,Yes,Pre-season conditioning,6,1,No,2,1,2,4,15.00
10/22/2020 13:01:03,Male,Boarding,12th,Yes,Soccer,2,0,Yes,2,0,0,0,5.00
10/22/2020 13:02:57,Female,Boarding,11th,Yes,Football,5,7,Yes,2,0,10,0,40.00
